Date,Open,High,Low,Close,Volume,Currency
2010-01-04,429.95,442.11,429.95,442.08,232188400,USD
2010-01-05,442.08,445.69,440.69,445.6,260402288,USD
2010-01-06,445.6,451.17,444.51,450.2,276306752,USD
2010-01-07,450.2,450.2,445.12,449.2,202070704,USD
2010-01-08,449.2,451.47,446.22,451.47,210275664,USD
2010-01-11,451.47,455.47,448.54,451.99,230907792,USD
2010-01-12,451.99,451.99,443.73,445.74,232910416,USD
2010-01-13,445.72,448.6,440.17,447.49,218747776,USD
2010-01-14,447.49,448.89,445.38,448.26,180446928,USD
2010-01-15,448.26,448.41,441.75,444.78,238938592,USD
2010-01-19,444.78,448.82,442.52,448.58,235509056,USD
2010-01-20,448.56,448.56,438.08,440.79,247227504,USD
2010-01-21,440.79,442.27,431.17,432.0,309696128,USD
2010-01-22,432.0,432.86,422.0,422.56,320603392,USD
2010-01-25,422.56,429.12,422.56,425.17,230624560,USD
2010-01-26,425.17,429.59,420.38,423.12,275023456,USD
2010-01-27,423.12,424.96,415.09,420.67,301705024,USD
2010-01-28,420.65,424.07,411.82,416.41,281487424,USD
2010-01-29,416.41,423.35,408.17,410.57,318762016,USD
2010-02-01,410.57,423.11,410.57,422.67,235350208,USD
2010-02-02,422.67,429.16,421.68,428.65,251923776,USD
2010-02-03,428.65,430.42,424.09,425.41,216373856,USD
2010-02-04,425.39,425.39,408.35,408.83,298097696,USD
2010-02-05,408.82,409.89,397.7,408.35,351607520,USD
2010-02-08,407.59,412.8,404.53,404.65,232728240,USD
2010-02-09,404.65,417.22,404.65,412.73,282480128,USD
2010-02-10,412.62,412.72,404.81,410.57,230876544,USD
2010-02-11,410.56,417.52,408.2,417.06,223126384,USD
2010-02-12,416.37,416.37,408.77,414.74,247785888,USD
2010-02-16,414.74,426.68,414.74,425.77,240760320,USD
2010-02-17,425.77,427.2,422.06,424.3,220075760,USD
2010-02-18,424.02,427.24,421.57,426.43,229109568,USD
2010-02-19,426.43,428.84,423.02,427.13,272520576,USD
2010-02-22,427.13,427.17,420.69,421.51,425314592,USD
2010-02-23,421.51,421.51,413.8,415.17,318629696,USD
2010-02-24,415.17,419.5,414.35,418.37,256554896,USD
2010-02-25,418.37,418.37,409.28,417.62,243467760,USD
2010-02-26,417.59,419.92,415.38,418.27,220174752,USD
2010-03-01,418.27,423.0,418.27,422.25,225588432,USD
2010-03-02,422.25,427.97,422.25,425.58,256088192,USD
2010-03-03,425.58,429.93,425.58,426.39,243179152,USD
2010-03-04,426.39,428.09,422.77,424.77,244304640,USD
2010-03-05,424.77,432.83,424.77,432.46,249418192,USD
2010-03-08,432.34,434.29,429.91,431.77,206622032,USD
2010-03-09,431.77,434.41,429.64,432.04,305186592,USD
2010-03-10,431.99,435.79,430.54,434.77,269575680,USD
2010-03-11,434.73,435.18,432.66,434.7,197182464,USD
2010-03-12,434.7,436.55,432.59,434.42,203220384,USD
2010-03-15,434.42,434.42,426.27,430.27,214310688,USD
2010-03-16,430.27,434.33,429.29,433.96,250901168,USD
2010-03-17,433.96,441.31,433.96,438.74,297345536,USD
2010-03-18,438.74,439.45,431.13,433.63,270275168,USD
2010-03-19,433.64,434.78,425.41,429.54,353771360,USD
2010-03-22,429.54,429.81,422.67,428.2,259896000,USD
2010-03-23,428.2,429.77,426.23,429.62,252957360,USD
2010-03-24,429.62,430.27,425.98,426.79,264435824,USD
2010-03-25,426.79,430.3,420.15,420.45,290810528,USD
2010-03-26,420.45,423.49,418.55,421.22,328702784,USD
2010-03-29,421.19,429.23,421.19,428.62,262601984,USD
2010-03-30,428.6,429.59,426.56,428.63,226476160,USD
2010-03-31,428.63,432.04,427.49,430.31,264411424,USD
2010-04-01,430.31,437.94,430.31,437.34,234882256,USD
2010-04-05,437.34,445.13,437.34,444.53,227085504,USD
2010-04-06,444.53,445.91,442.4,444.59,240050576,USD
2010-04-07,444.59,444.59,438.07,440.15,280675264,USD
2010-04-08,440.15,443.89,435.63,442.81,238957856,USD
2010-04-09,442.81,448.22,442.81,447.72,219422816,USD
2010-04-12,447.72,451.31,447.12,449.05,190999760,USD
2010-04-13,449.05,449.19,442.91,446.97,219720592,USD
2010-04-14,446.96,451.26,445.72,451.18,215414816,USD
2010-04-15,451.18,452.36,449.28,451.14,216406976,USD
2010-04-16,451.14,451.14,441.87,444.25,319042624,USD
2010-04-19,444.25,445.4,439.78,445.05,242236912,USD
2010-04-20,445.03,454.9,445.03,453.57,242603424,USD
2010-04-21,453.57,456.14,449.68,452.82,217014064,USD
2010-04-22,452.82,453.2,446.24,452.51,229067472,USD
2010-04-23,452.51,463.0,452.39,462.89,284629824,USD
2010-04-26,462.89,464.74,461.24,461.89,218744112,USD
2010-04-27,461.89,462.72,448.28,449.04,322014560,USD
2010-04-28,449.04,455.1,448.26,453.88,270138144,USD
2010-04-29,453.84,459.48,452.37,454.39,436034464,USD
2010-04-30,454.39,455.72,447.1,449.37,472123776,USD
2010-05-03,449.37,457.14,446.28,453.62,343842432,USD
2010-05-04,453.62,453.62,437.54,441.82,299337728,USD
2010-05-05,441.82,441.82,432.48,435.3,325316192,USD
2010-05-06,435.25,436.13,395.48,420.46,465005056,USD
2010-05-07,420.46,424.98,409.59,414.04,469619168,USD
2010-05-10,414.04,432.11,414.04,430.41,375271840,USD
2010-05-11,429.63,433.26,425.81,427.01,322422080,USD
2010-05-12,426.93,433.56,426.93,432.43,260350384,USD
2010-05-13,432.43,434.6,427.79,429.09,253909456,USD
2010-05-14,429.08,429.08,415.12,420.64,293958432,USD
2010-05-17,420.02,422.53,408.53,416.64,308927744,USD
2010-05-18,416.64,425.29,411.69,413.59,298459200,USD
2010-05-19,413.59,414.55,403.47,409.48,331659360,USD
2010-05-20,409.17,409.17,391.09,391.33,455645824,USD
2010-05-21,391.33,398.37,384.45,398.03,412808672,USD
2010-05-24,398.03,398.03,389.01,389.39,273089792,USD
2010-05-25,389.39,389.69,377.07,389.15,391543648,USD
2010-05-26,389.12,396.75,387.0,388.1,327418112,USD
2010-05-27,388.07,404.67,388.07,404.39,337112640,USD
2010-05-28,404.3,404.3,394.21,396.31,349743264,USD
2010-06-01,396.31,396.31,379.31,379.47,468359328,USD
2010-06-02,379.47,395.72,379.47,395.72,404777344,USD
2010-06-03,395.72,400.69,391.1,400.02,390004800,USD
2010-06-04,400.02,400.02,383.56,386.22,407212192,USD
2010-06-07,386.2,391.79,382.73,383.16,300705088,USD
2010-06-08,383.05,391.37,381.2,390.36,374507904,USD
2010-06-09,390.31,398.77,383.94,385.37,377949344,USD
2010-06-10,385.37,404.74,385.37,404.29,319421856,USD
2010-06-11,404.26,406.14,399.94,406.05,217446784,USD
2010-06-14,406.03,413.4,403.67,403.99,264572848,USD
2010-06-15,403.99,415.22,403.99,414.93,243913472,USD
2010-06-16,414.93,416.73,410.24,414.32,243003888,USD
2010-06-17,414.32,415.28,410.24,414.53,221759904,USD
2010-06-18,414.53,417.8,412.01,417.09,273483296,USD
2010-06-21,417.09,425.09,413.56,416.11,245489936,USD
2010-06-22,416.11,416.28,403.9,404.86,274187360,USD
2010-06-23,404.86,404.86,399.25,400.96,259597760,USD
2010-06-24,400.96,401.2,391.43,392.71,271385376,USD
2010-06-25,392.71,396.44,388.63,392.5,455140896,USD
2010-06-28,392.5,393.81,387.46,387.47,223794624,USD
2010-06-29,387.45,387.45,373.49,375.65,312718848,USD
2010-06-30,375.65,380.5,372.54,373.36,293269248,USD
2010-07-01,373.36,375.99,365.74,371.82,338783584,USD
2010-07-02,371.82,375.24,367.86,371.08,224896304,USD
2010-07-06,371.08,380.35,370.9,375.03,255184128,USD
2010-07-07,375.03,387.16,374.77,387.15,286828608,USD
2010-07-08,387.15,392.89,385.74,392.22,263354736,USD
2010-07-09,392.22,394.45,390.22,393.94,189828624,USD
2010-07-12,393.94,395.48,389.83,393.4,181398400,USD
2010-07-13,393.4,400.41,393.4,398.15,221751584,USD
2010-07-14,398.13,399.27,393.68,397.13,185378528,USD
2010-07-15,397.13,398.54,390.95,397.27,205853344,USD
2010-07-16,397.27,397.34,385.43,386.77,259616032,USD
2010-07-19,386.77,392.59,386.77,390.53,218219136,USD
2010-07-20,390.51,398.8,385.6,397.97,230324192,USD
2010-07-21,397.97,400.06,389.14,392.6,230177376,USD
2010-07-22,392.6,404.12,392.6,401.21,227114336,USD
2010-07-23,401.21,402.41,395.55,402.3,237607520,USD
2010-07-26,402.3,406.66,401.71,406.57,182707040,USD
2010-07-27,406.57,407.97,401.78,405.07,244293744,USD
2010-07-28,405.07,406.9,403.39,404.51,207312096,USD
2010-07-29,404.16,410.4,400.9,404.16,244894576,USD
2010-07-30,404.16,405.17,399.33,403.14,225160112,USD
2010-08-02,403.14,418.41,403.14,417.48,237290288,USD
2010-08-03,417.48,420.17,414.47,418.28,253466928,USD
2010-08-04,418.28,421.23,416.71,420.44,226085824,USD
2010-08-05,420.43,420.89,415.77,420.81,179811472,USD
2010-08-06,420.81,420.81,410.47,415.95,206555232,USD
2010-08-09,415.95,419.28,415.95,418.33,143397936,USD
2010-08-10,418.33,418.33,411.04,415.02,194671600,USD
2010-08-11,414.11,414.11,401.68,402.8,217240144,USD
2010-08-12,402.78,403.55,397.94,400.82,177970864,USD
2010-08-13,400.82,403.27,398.92,399.46,155261040,USD
2010-08-16,399.37,400.55,395.32,399.74,155677488,USD
2010-08-17,399.2,407.61,399.2,405.59,183896144,USD
2010-08-18,405.58,405.58,398.04,401.23,171242544,USD
2010-08-19,401.23,401.23,392.97,395.2,184226640,USD
2010-08-20,395.2,395.2,387.76,390.41,182699472,USD
2010-08-23,390.41,394.73,390.41,391.19,177024656,USD
2010-08-24,391.19,391.19,384.8,385.57,230146944,USD
2010-08-25,385.54,385.78,379.1,384.56,204281792,USD
2010-08-26,384.56,387.95,379.32,380.6,202265888,USD
2010-08-27,380.6,391.64,378.14,391.05,198301728,USD
2010-08-30,390.92,391.48,384.89,385.01,148625536,USD
2010-08-31,385.01,386.71,381.33,384.14,193115712,USD
2010-09-01,384.14,398.78,384.14,398.13,205988992,USD
2010-09-02,398.13,401.61,396.38,401.61,166602928,USD
2010-09-03,401.59,406.6,401.59,405.43,147779872,USD
2010-09-07,405.43,405.43,398.34,399.02,159227408,USD
2010-09-08,398.89,404.21,398.89,402.41,146361744,USD
2010-09-09,402.41,407.65,402.28,403.26,136737200,USD
2010-09-10,403.26,407.93,403.26,407.17,155162368,USD
2010-09-13,407.14,410.42,407.02,409.45,170068960,USD
2010-09-14,409.44,411.57,407.09,408.36,155396400,USD
2010-09-15,408.36,408.36,403.87,407.6,157034976,USD
2010-09-16,407.59,407.59,403.74,406.09,171325936,USD
2010-09-17,406.09,408.17,403.56,404.25,223590352,USD
2010-09-20,404.25,412.52,404.25,411.3,165702272,USD
2010-09-21,411.3,413.41,408.15,410.89,192979072,USD
2010-09-22,410.89,414.94,408.4,408.81,165339952,USD
2010-09-23,408.81,409.15,404.13,405.65,159813456,USD
2010-09-24,405.65,416.1,405.65,414.52,185244016,USD
2010-09-27,414.52,416.39,412.71,412.71,139245632,USD
2010-09-28,412.71,417.06,409.31,415.9,163985328,USD
2010-09-29,415.88,420.68,414.08,418.86,194904672,USD
2010-09-30,418.86,424.13,415.5,419.27,211007440,USD
2010-10-01,419.27,425.68,419.27,424.76,204404000,USD
2010-10-04,424.76,425.45,417.21,420.12,162326720,USD
2010-10-05,420.12,430.9,420.12,429.87,209464528,USD
2010-10-06,429.87,434.38,429.65,433.31,182752528,USD
2010-10-07,433.31,435.06,428.67,431.7,153409776,USD
2010-10-08,431.7,437.67,430.46,436.62,172373328,USD
2010-10-11,436.62,439.26,435.83,437.29,132657584,USD
2010-10-12,437.29,438.66,431.35,436.78,180816288,USD
2010-10-13,436.77,443.65,436.56,441.52,240612736,USD
2010-10-14,441.52,443.91,437.98,441.28,171805952,USD
2010-10-15,441.28,443.83,438.02,442.47,202530480,USD
2010-10-18,442.47,447.41,440.13,446.05,182818656,USD
2010-10-19,446.05,446.05,431.96,435.4,246863552,USD
2010-10-20,435.38,443.75,435.38,441.47,189527664,USD
2010-10-21,441.47,445.81,436.64,440.86,213454656,USD
2010-10-22,440.86,445.26,440.86,444.07,181567504,USD
2010-10-25,444.07,450.57,444.07,444.49,191735520,USD
2010-10-26,444.49,446.31,442.67,445.65,197073696,USD
2010-10-27,445.35,445.35,437.14,442.96,216181088,USD
2010-10-28,442.91,446.84,441.23,442.84,279571872,USD
2010-10-29,442.84,443.17,439.52,442.59,219323200,USD
2010-11-01,442.59,449.3,441.67,443.87,204428576,USD
2010-11-02,443.86,450.62,443.86,448.8,200698480,USD
2010-11-03,448.79,450.25,443.43,449.68,271268992,USD
2010-11-04,449.66,463.45,449.66,462.95,283123680,USD
2010-11-05,462.95,465.26,461.75,465.12,231054144,USD
2010-11-08,465.12,467.13,462.73,466.69,207234704,USD
2010-11-09,465.77,471.26,462.95,465.24,260604560,USD
2010-11-10,465.24,471.36,462.43,471.34,229865520,USD
2010-11-11,471.34,476.28,469.61,476.06,232147840,USD
2010-11-12,476.06,476.06,465.81,469.56,214235008,USD
2010-11-15,469.48,472.37,467.26,467.38,181181936,USD
2010-11-16,466.84,466.84,454.37,457.61,232737200,USD
2010-11-17,457.61,462.06,455.49,459.43,165376976,USD
2010-11-18,459.43,470.19,459.43,469.29,194112656,USD
2010-11-19,469.29,472.45,464.15,472.25,189516208,USD
2010-11-22,472.25,472.25,461.66,470.43,183671760,USD
2010-11-23,470.43,470.43,457.58,461.55,192612512,USD
2010-11-24,461.55,470.02,461.55,469.6,149988352,USD
2010-11-26,469.6,469.6,462.92,464.2,60340460,USD
2010-11-29,464.1,467.75,457.5,466.6,164893712,USD
2010-11-30,466.6,468.7,459.83,465.21,217503440,USD
2010-12-01,465.16,480.03,465.16,478.75,212536464,USD
2010-12-02,478.75,485.52,478.73,485.07,196564528,USD
2010-12-03,485.07,487.79,483.49,487.24,186260272,USD
2010-12-06,487.23,489.86,486.39,488.53,163731920,USD
2010-12-07,488.53,495.27,486.59,487.32,223816304,USD
2010-12-08,487.18,490.38,483.0,485.77,194341168,USD
2010-12-09,485.77,488.98,483.03,487.2,147673872,USD
2010-12-10,487.2,489.26,486.13,488.94,146140512,USD
2010-12-13,488.91,496.72,488.91,492.8,185095328,USD
2010-12-14,492.8,494.74,489.52,491.25,159449504,USD
2010-12-15,491.25,492.45,487.49,488.01,176392064,USD
2010-12-16,488.0,491.48,485.45,491.46,161160096,USD
2010-12-17,491.46,491.93,488.94,490.75,219697936,USD
2010-12-20,490.75,495.53,490.34,494.22,188362016,USD
2010-12-21,494.22,499.32,494.22,498.52,147634000,USD
2010-12-22,498.52,500.78,498.52,500.52,118541968,USD
2010-12-23,500.52,502.37,499.8,501.98,98267264,USD
2010-12-27,501.98,501.98,498.65,500.16,76818680,USD
2010-12-28,500.16,503.08,499.85,502.36,88190488,USD
2010-12-29,502.36,508.09,502.36,506.38,105427344,USD
2010-12-30,506.37,509.06,505.25,506.96,110908816,USD
2010-12-31,506.96,509.27,505.44,506.75,99524400,USD
2011-01-03,506.75,514.43,506.75,511.54,161475664,USD
2011-01-04,511.54,513.47,503.72,508.41,191928032,USD
2011-01-05,508.41,510.36,503.65,509.48,182640064,USD
2011-01-06,509.48,511.02,503.77,505.8,198522576,USD
2011-01-07,505.8,510.48,504.74,509.1,184094752,USD
2011-01-10,509.1,509.1,503.54,507.03,170364896,USD
2011-01-11,507.03,515.12,507.03,514.98,182428416,USD
2011-01-12,514.96,521.72,514.96,521.14,186406896,USD
2011-01-13,521.14,523.01,518.01,520.08,241645456,USD
2011-01-14,520.08,526.17,517.44,526.08,200192416,USD
2011-01-18,526.08,530.03,524.61,529.68,178927632,USD
2011-01-19,529.66,530.66,523.36,524.29,197000336,USD
2011-01-20,524.29,524.29,513.63,520.64,244829088,USD
2011-01-21,520.64,527.01,520.64,524.23,226650240,USD
2011-01-24,524.23,526.58,521.65,525.41,193207728,USD
2011-01-25,525.41,525.41,518.63,523.93,231005488,USD
2011-01-26,523.93,536.69,523.93,535.34,254866752,USD
2011-01-27,535.34,536.35,530.14,532.94,244758848,USD
2011-01-28,532.94,534.37,528.98,530.31,272400352,USD
2011-01-31,530.31,544.03,530.31,543.84,307457632,USD
2011-02-01,543.84,554.75,543.84,554.13,280193152,USD
2011-02-02,554.11,557.12,550.72,553.92,205355152,USD
2011-02-03,553.89,554.57,547.18,554.2,204957088,USD
2011-02-04,554.19,555.33,549.74,552.51,203372864,USD
2011-02-07,552.51,559.41,552.51,555.71,214162432,USD
2011-02-08,554.89,554.99,548.9,552.71,190742464,USD
2011-02-09,552.7,552.7,542.36,546.25,185386496,USD
2011-02-10,546.24,552.09,542.73,551.28,204332544,USD
2011-02-11,551.26,554.66,547.66,551.07,181169072,USD
2011-02-14,550.34,563.42,550.29,562.7,215563008,USD
2011-02-15,562.7,562.7,554.06,556.37,197865040,USD
2011-02-16,556.37,563.83,556.37,563.38,232184384,USD
2011-02-17,563.02,568.98,561.87,568.0,284909248,USD
2011-02-18,568.0,572.08,565.79,571.28,239365264,USD
2011-02-22,571.28,579.98,564.55,567.51,294882176,USD
2011-02-23,567.51,582.52,567.51,578.55,317604480,USD
2011-02-24,578.55,580.53,567.4,570.46,286830848,USD
2011-02-25,570.46,577.68,570.36,577.37,212986016,USD
2011-02-28,577.34,583.0,576.46,580.67,215492896,USD
2011-03-01,580.67,585.05,571.41,571.79,251067392,USD
2011-03-02,571.79,575.65,566.02,574.65,206923024,USD
2011-03-03,574.65,584.32,574.65,583.52,206260080,USD
2011-03-04,583.52,584.17,575.58,579.78,188570448,USD
2011-03-07,579.77,586.53,573.86,575.54,181435040,USD
2011-03-08,575.41,576.18,566.78,571.9,168323424,USD
2011-03-09,571.86,573.38,566.19,568.3,155089520,USD
2011-03-10,568.29,568.29,546.31,547.64,260218400,USD
2011-03-11,547.61,560.45,542.1,556.57,186092512,USD
2011-03-14,556.57,560.29,550.62,558.89,217469584,USD
2011-03-15,558.89,558.89,540.41,554.36,244888048,USD
2011-03-16,554.36,559.21,539.02,544.21,310786688,USD
2011-03-17,544.21,563.1,544.21,560.82,227851760,USD
2011-03-18,560.82,568.78,557.71,558.63,272407936,USD
2011-03-21,558.63,574.87,558.63,574.87,189614288,USD
2011-03-22,574.87,576.53,571.68,573.3,165177504,USD
2011-03-23,573.3,576.49,569.9,574.63,170476512,USD
2011-03-24,574.63,577.8,571.8,576.11,180074112,USD
2011-03-25,576.11,583.15,575.54,581.42,191357360,USD
2011-03-28,581.42,586.5,579.41,580.69,179791056,USD
2011-03-29,580.68,588.02,577.76,586.67,194334640,USD
2011-03-30,586.66,593.76,586.66,591.34,202206048,USD
2011-03-31,591.34,597.85,589.1,589.31,194455104,USD
2011-04-01,589.31,595.34,589.31,591.66,171707360,USD
2011-04-04,591.66,594.41,590.55,591.55,144863232,USD
2011-04-05,591.55,596.52,590.28,593.57,159266656,USD
2011-04-06,593.57,597.33,586.03,587.97,165636320,USD
2011-04-07,587.97,590.78,583.94,589.13,172851360,USD
