Date,CPI,Open,High,Low,Volume,Currency
2010-01-04,442,430,442,430,232188400,USD
2010-01-05,446,442,446,441,260402288,USD
2010-01-06,450,446,451,445,276306752,USD
2010-01-07,449,450,450,445,202070704,USD
2010-01-08,451,449,451,446,210275664,USD
2010-01-11,452,451,455,449,230907792,USD
2010-01-12,446,452,452,444,232910416,USD
2010-01-13,447,446,449,440,218747776,USD
2010-01-14,448,447,449,445,180446928,USD
2010-01-15,445,448,448,442,238938592,USD
2010-01-19,449,445,449,443,235509056,USD
2010-01-20,441,449,449,438,247227504,USD
2010-01-21,432,441,442,431,309696128,USD
2010-01-22,423,432,433,422,320603392,USD
2010-01-25,425,423,429,423,230624560,USD
2010-01-26,423,425,430,420,275023456,USD
2010-01-27,421,423,425,415,301705024,USD
2010-01-28,416,421,424,412,281487424,USD
2010-01-29,411,416,423,408,318762016,USD
2010-02-01,423,411,423,411,235350208,USD
2010-02-02,429,423,429,422,251923776,USD
2010-02-03,425,429,430,424,216373856,USD
2010-02-04,409,425,425,408,298097696,USD
2010-02-05,408,409,410,398,351607520,USD
2010-02-08,405,408,413,405,232728240,USD
2010-02-09,413,405,417,405,282480128,USD
2010-02-10,411,413,413,405,230876544,USD
2010-02-11,417,411,418,408,223126384,USD
2010-02-12,415,416,416,409,247785888,USD
2010-02-16,426,415,427,415,240760320,USD
2010-02-17,424,426,427,422,220075760,USD
2010-02-18,426,424,427,422,229109568,USD
2010-02-19,427,426,429,423,272520576,USD
2010-02-22,422,427,427,421,425314592,USD
2010-02-23,415,422,422,414,318629696,USD
2010-02-24,418,415,420,414,256554896,USD
2010-02-25,418,418,418,409,243467760,USD
2010-02-26,418,418,420,415,220174752,USD
2010-03-01,422,418,423,418,225588432,USD
2010-03-02,426,422,428,422,256088192,USD
2010-03-03,426,426,430,426,243179152,USD
2010-03-04,425,426,428,423,244304640,USD
2010-03-05,432,425,433,425,249418192,USD
2010-03-08,432,432,434,430,206622032,USD
2010-03-09,432,432,434,430,305186592,USD
2010-03-10,435,432,436,431,269575680,USD
2010-03-11,435,435,435,433,197182464,USD
2010-03-12,434,435,437,433,203220384,USD
2010-03-15,430,434,434,426,214310688,USD
2010-03-16,434,430,434,429,250901168,USD
2010-03-17,439,434,441,434,297345536,USD
2010-03-18,434,439,439,431,270275168,USD
2010-03-19,430,434,435,425,353771360,USD
2010-03-22,428,430,430,423,259896000,USD
2010-03-23,430,428,430,426,252957360,USD
2010-03-24,427,430,430,426,264435824,USD
2010-03-25,420,427,430,420,290810528,USD
2010-03-26,421,420,423,419,328702784,USD
2010-03-29,429,421,429,421,262601984,USD
2010-03-30,429,429,430,427,226476160,USD
2010-03-31,430,429,432,427,264411424,USD
2010-04-01,437,430,438,430,234882256,USD
2010-04-05,445,437,445,437,227085504,USD
2010-04-06,445,445,446,442,240050576,USD
2010-04-07,440,445,445,438,280675264,USD
2010-04-08,443,440,444,436,238957856,USD
2010-04-09,448,443,448,443,219422816,USD
2010-04-12,449,448,451,447,190999760,USD
2010-04-13,447,449,449,443,219720592,USD
2010-04-14,451,447,451,446,215414816,USD
2010-04-15,451,451,452,449,216406976,USD
2010-04-16,444,451,451,442,319042624,USD
2010-04-19,445,444,445,440,242236912,USD
2010-04-20,454,445,455,445,242603424,USD
2010-04-21,453,454,456,450,217014064,USD
2010-04-22,453,453,453,446,229067472,USD
2010-04-23,463,453,463,452,284629824,USD
2010-04-26,462,463,465,461,218744112,USD
2010-04-27,449,462,463,448,322014560,USD
2010-04-28,454,449,455,448,270138144,USD
2010-04-29,454,454,459,452,436034464,USD
2010-04-30,449,454,456,447,472123776,USD
2010-05-03,454,449,457,446,343842432,USD
2010-05-04,442,454,454,438,299337728,USD
2010-05-05,435,442,442,432,325316192,USD
2010-05-06,420,435,436,395,465005056,USD
2010-05-07,414,420,425,410,469619168,USD
2010-05-10,430,414,432,414,375271840,USD
2010-05-11,427,430,433,426,322422080,USD
2010-05-12,432,427,434,427,260350384,USD
2010-05-13,429,432,435,428,253909456,USD
2010-05-14,421,429,429,415,293958432,USD
2010-05-17,417,420,423,409,308927744,USD
2010-05-18,414,417,425,412,298459200,USD
2010-05-19,409,414,415,403,331659360,USD
2010-05-20,391,409,409,391,455645824,USD
2010-05-21,398,391,398,384,412808672,USD
2010-05-24,389,398,398,389,273089792,USD
2010-05-25,389,389,390,377,391543648,USD
2010-05-26,388,389,397,387,327418112,USD
2010-05-27,404,388,405,388,337112640,USD
2010-05-28,396,404,404,394,349743264,USD
2010-06-01,379,396,396,379,468359328,USD
2010-06-02,396,379,396,379,404777344,USD
2010-06-03,400,396,401,391,390004800,USD
2010-06-04,386,400,400,384,407212192,USD
2010-06-07,383,386,392,383,300705088,USD
2010-06-08,390,383,391,381,374507904,USD
2010-06-09,385,390,399,384,377949344,USD
2010-06-10,404,385,405,385,319421856,USD
2010-06-11,406,404,406,400,217446784,USD
2010-06-14,404,406,413,404,264572848,USD
2010-06-15,415,404,415,404,243913472,USD
2010-06-16,414,415,417,410,243003888,USD
2010-06-17,415,414,415,410,221759904,USD
2010-06-18,417,415,418,412,273483296,USD
2010-06-21,416,417,425,414,245489936,USD
2010-06-22,405,416,416,404,274187360,USD
2010-06-23,401,405,405,399,259597760,USD
2010-06-24,393,401,401,391,271385376,USD
2010-06-25,393,393,396,389,455140896,USD
2010-06-28,387,393,394,387,223794624,USD
2010-06-29,376,387,387,373,312718848,USD
2010-06-30,373,376,381,373,293269248,USD
2010-07-01,372,373,376,366,338783584,USD
2010-07-02,371,372,375,368,224896304,USD
2010-07-06,375,371,380,371,255184128,USD
2010-07-07,387,375,387,375,286828608,USD
2010-07-08,392,387,393,386,263354736,USD
2010-07-09,394,392,394,390,189828624,USD
2010-07-12,393,394,395,390,181398400,USD
