Date,Gold_Price,Open,High,Low,Volume,Change_Percent
2019-12-31,1551,1547,1555,1546,0.67K,0.34%
2019-12-30,1545,1544,1546,1540,0.46K,0.06%
2019-12-27,1544,1541,1545,1540,0.29K,0.27%
2019-12-26,1540,1529,1543,1528,1.02K,2.41%
2019-12-25,1504,1504,1504,1502,-,-1.73%
2019-12-24,1531,1519,1530,1519,0.45K,1.06%
2019-12-23,1514,1511,1515,1511,0.39K,0.53%
2019-12-20,1506,1508,1510,1505,0.44K,-0.24%
2019-12-19,1510,1505,1510,1504,0.57K,0.38%
2019-12-18,1504,1506,1509,1502,1.56K,-0.17%
2019-12-17,1507,1506,1510,1505,0.21K,0.01%
2019-12-16,1507,1505,1509,1504,0.42K,-0.01%
2019-12-13,1507,1493,1508,1493,0.47K,0.63%
2019-12-12,1498,1511,1514,1494,0.17K,-0.17%
2019-12-11,1500,1500,1507,1498,0.14K,0.46%
2019-12-10,1493,1491,1496,1490,0.14K,0.23%
2019-12-09,1490,1493,1493,1489,0.30K,-0.01%
2019-12-06,1490,1503,1506,1488,0.44K,-1.17%
2019-12-05,1508,1505,1508,1503,0.23K,0.20%
2019-12-04,1505,1509,1514,1503,0.46K,-0.27%
2019-12-03,1509,1491,1510,1491,0.45K,1.04%
2019-12-02,1493,1494,1495,1485,0.17K,-0.23%
2019-11-29,1497,1488,1495,1484,0.19K,2.35%
2019-11-28,1462,1463,1465,1461,-,-1.49%
2019-11-27,1484,1489,1490,1484,0.22K,-0.44%
2019-11-26,1491,1484,1492,1481,0.31K,0.19%
2019-11-25,1488,1491,1492,1485,0.94K,-0.42%
2019-11-22,1494,1498,1502,1492,0.70K,0.03%
2019-11-21,1494,1506,1506,1494,0.49K,-0.70%
2019-11-20,1505,1506,1509,1498,0.69K,-0.02%
2019-11-19,1505,1501,1506,1497,1.03K,0.16%
2019-11-18,1502,1498,1503,1489,0.82K,0.22%
2019-11-15,1499,1496,1500,1496,0.07K,-0.33%
2019-11-14,1504,1495,1505,1495,0.84K,0.68%
2019-11-13,1494,1490,1498,1490,0.74K,0.65%
2019-11-12,1484,1488,1489,1480,0.93K,-0.26%
2019-11-11,1488,1494,1494,1480,0.73K,-0.55%
2019-11-08,1496,1501,1503,1489,0.35K,-0.09%
2019-11-07,1498,1520,1520,1495,1.32K,-1.72%
2019-11-06,1524,1517,1525,1516,0.69K,0.62%
2019-11-05,1515,1535,1535,1513,1.77K,-1.76%
2019-11-04,1542,1545,1545,1541,0.83K,0.02%
2019-11-01,1541,1542,1545,1538,0.20K,-0.17%
2019-10-31,1544,1527,1545,1527,0.17K,1.15%
2019-10-30,1527,1521,1527,1513,1.90K,0.39%
2019-10-29,1521,1524,1524,1516,0.22K,-0.34%
2019-10-28,1526,1536,1536,1524,0.16K,-0.61%
2019-10-25,1535,1538,1550,1535,0.07K,0.08%
2019-10-24,1534,1524,1535,1522,0.28K,0.59%
2019-10-23,1525,1522,1526,1522,0.03K,0.55%
2019-10-22,1517,1517,1519,1515,0.01K,-0.05%
2019-10-21,1517,1525,1525,1515,0.11K,-0.37%
2019-10-18,1523,1526,1526,1520,0.16K,-0.31%
2019-10-17,1528,1520,1528,1520,0.21K,0.29%
2019-10-16,1523,1516,1522,1510,0.20K,0.68%
2019-10-15,1513,1523,1525,1513,0.23K,-0.92%
2019-10-14,1527,1529,1530,1524,0.03K,0.61%
2019-10-11,1518,1534,1535,1508,1.04K,-0.78%
2019-10-10,1530,1548,1548,1526,0.13K,-0.74%
2019-10-09,1541,1540,1543,1535,0.43K,0.60%
2019-10-08,1532,1524,1540,1523,0.43K,-0.04%
2019-10-07,1533,1539,1539,1522,0.16K,-0.53%
2019-10-04,1541,1541,1541,1530,0.07K,-0.04%
2019-10-03,1541,1537,1552,1535,0.45K,0.29%
2019-10-02,1537,1513,1536,1510,0.34K,1.24%
2019-10-01,1518,1503,1520,1499,0.22K,1.05%
2019-09-30,1502,1533,1533,1500,0.51K,-2.20%
2019-09-27,1536,1538,1538,1526,0.17K,-0.58%
2019-09-26,1545,1539,1547,1538,0.25K,0.19%
2019-09-25,1542,1572,1572,1539,0.25K,-1.79%
2019-09-24,1570,1560,1573,1555,0.51K,0.54%
2019-09-23,1562,1557,1563,1557,0.02K,1.05%
2019-09-20,1545,1538,1554,1538,0.10K,0.58%
2019-09-19,1536,1529,1540,1529,0.16K,-0.63%
2019-09-18,1546,1539,1549,1530,0.50K,0.13%
2019-09-17,1544,1539,1542,1539,0.01K,0.12%
2019-09-16,1542,1543,1547,1536,0.69K,0.76%
2019-09-13,1531,1543,1543,1526,0.18K,-0.46%
2019-09-12,1538,1530,1559,1530,0.41K,0.35%
2019-09-11,1532,1529,1534,1529,0.04K,0.28%
2019-09-10,1528,1532,1533,1525,0.16K,-0.75%
2019-09-09,1540,1540,1547,1534,0.24K,-0.24%
2019-09-06,1543,1551,1560,1539,0.06K,-0.62%
2019-09-05,1553,1580,1584,1545,0.10K,-2.17%
2019-09-04,1587,1583,1591,1572,0.34K,0.27%
2019-09-03,1583,1563,1584,1561,0.24K,3.13%
2019-09-02,1535,1538,1540,1528,-,-0.19%
2019-09-01,1538,1535,1543,1535,-,-1.23%
2019-08-30,1557,1564,1567,1555,0.45K,-0.43%
2019-08-29,1564,1572,1579,1562,0.25K,-0.72%
2019-08-28,1575,1572,1578,1572,0.24K,-0.17%
2019-08-27,1578,1566,1579,1565,0.17K,0.95%
2019-08-26,1563,1585,1585,1563,0.07K,-0.03%
2019-08-23,1564,1539,1564,1537,0.26K,1.90%
2019-08-22,1534,1534,1539,1531,0.25K,-0.46%
2019-08-21,1542,1533,1541,1533,0.56K,0.01%
2019-08-20,1541,1530,1541,1530,0.17K,0.27%
