Date,Silver_Price,Open,High,Low,Volume,Change_Percent
2019-12-31,18,18,18,18,0.77K,-0.44%
2019-12-30,18,18,18,18,0.27K,1.63%
2019-12-29,18,18,18,18,-,-1.28%
2019-12-27,18,18,18,18,0.45K,-0.25%
2019-12-26,18,18,18,18,0.92K,1.82%
2019-12-25,18,18,18,18,-,-1.04%
2019-12-24,18,18,18,18,1.32K,2.00%
2019-12-23,18,17,18,17,0.78K,2.43%
2019-12-22,17,17,17,17,-,-0.82%
2019-12-20,17,17,17,17,0.22K,0.40%
2019-12-19,17,17,17,17,0.14K,0.61%
2019-12-18,17,17,17,17,0.44K,-0.14%
2019-12-17,17,17,17,17,0.24K,-0.24%
2019-12-16,17,17,17,17,0.34K,1.75%
2019-12-15,17,17,17,17,-,-1.14%
2019-12-13,17,17,17,17,0.58K,0.35%
2019-12-12,17,17,17,17,0.25K,0.59%
2019-12-11,17,17,17,17,0.71K,0.86%
2019-12-10,17,17,17,17,0.83K,0.36%
2019-12-09,17,17,17,17,0.54K,1.05%
2019-12-08,17,17,17,17,-,-0.75%
2019-12-06,17,17,17,17,1.16K,-2.69%
2019-12-05,17,17,17,17,0.97K,0.81%
2019-12-04,17,17,18,17,0.48K,-1.92%
2019-12-03,17,17,17,17,0.52K,1.64%
2019-12-02,17,17,17,17,0.38K,0.46%
2019-12-01,17,17,17,17,-,-1.27%
2019-11-29,17,17,17,17,0.49K,1.46%
2019-11-28,17,17,17,17,-,-1.16%
2019-11-27,17,17,17,17,1.40K,-0.70%
2019-11-26,17,17,17,17,2.24K,0.94%
2019-11-25,17,17,17,17,4.37K,0.94%
2019-11-24,17,17,17,17,-,-1.57%
2019-11-22,17,17,17,17,1.10K,-0.37%
2019-11-21,17,17,17,17,0.83K,-0.28%
2019-11-20,17,17,17,17,0.35K,-0.03%
2019-11-19,17,17,17,17,0.52K,0.70%
2019-11-18,17,17,17,17,1.64K,1.99%
2019-11-17,17,17,17,17,-,-1.68%
2019-11-15,17,17,17,17,0.85K,-0.49%
2019-11-14,17,17,17,17,1.28K,0.66%
2019-11-13,17,17,17,17,1.65K,1.32%
2019-11-12,17,17,17,17,2.86K,-0.68%
2019-11-11,17,17,17,17,1.41K,1.87%
2019-11-10,17,17,17,17,-,-1.95%
2019-11-08,17,17,17,17,1.70K,-1.11%
2019-11-07,17,18,18,17,1.56K,-3.29%
2019-11-06,18,18,18,18,0.89K,0.18%
2019-11-05,18,18,18,18,0.72K,-2.74%
2019-11-04,18,18,19,18,0.79K,1.48%
2019-11-03,18,18,18,18,-,-1.36%
2019-11-01,18,18,18,18,0.94K,-0.05%
2019-10-31,18,18,18,18,0.80K,1.14%
2019-10-30,18,18,18,18,1.21K,0.20%
2019-10-29,18,18,18,18,0.16K,-0.25%
2019-10-28,18,18,18,18,0.52K,0.82%
2019-10-27,18,18,18,18,-,-1.06%
2019-10-25,18,18,19,18,0.71K,0.70%
2019-10-24,18,18,18,18,0.70K,1.29%
2019-10-23,18,18,18,18,3.34K,0.49%
2019-10-22,18,18,18,18,0.83K,-0.56%
2019-10-21,18,18,18,18,0.32K,1.65%
2019-10-20,18,18,18,18,-,-1.47%
2019-10-18,18,18,18,18,0.17K,-0.19%
2019-10-17,18,18,18,18,0.21K,1.07%
2019-10-16,18,18,18,17,0.80K,0.25%
2019-10-15,18,18,18,18,0.22K,-1.82%
2019-10-14,18,18,18,18,0.11K,2.69%
2019-10-13,18,18,18,17,-,-1.72%
2019-10-11,18,18,18,18,0.37K,-0.31%
2019-10-10,18,18,18,18,0.77K,-1.14%
2019-10-09,18,18,18,18,0.52K,0.61%
2019-10-08,18,18,18,18,0.46K,0.90%
2019-10-07,18,18,18,18,0.17K,1.11%
2019-10-06,18,18,18,18,-,-1.56%
2019-10-04,18,18,18,18,0.39K,-0.28%
2019-10-03,18,18,18,18,0.76K,-0.06%
2019-10-02,18,18,18,18,0.79K,2.16%
2019-10-01,18,17,18,17,1.23K,1.74%
2019-09-30,17,18,18,17,0.30K,-1.73%
2019-09-29,18,18,18,18,-,-1.97%
2019-09-27,18,18,18,18,0.29K,-1.43%
2019-09-26,18,18,18,18,0.23K,-0.89%
2019-09-25,18,19,19,18,0.41K,-2.94%
2019-09-24,19,19,19,19,0.71K,-0.44%
2019-09-23,19,18,19,18,0.59K,5.26%
2019-09-22,18,18,18,18,-,-0.47%
2019-09-20,18,18,18,18,0.23K,-0.19%
2019-09-19,18,18,18,18,0.26K,-0.19%
2019-09-18,18,18,18,18,0.05K,-1.22%
2019-09-17,18,18,18,18,0.32K,0.60%
2019-09-16,18,18,18,18,0.15K,2.77%
2019-09-15,18,18,18,18,-,-0.26%
2019-09-13,18,18,19,18,1.33K,-3.24%
2019-09-12,18,19,19,18,0.78K,0.10%
2019-09-11,18,19,19,18,0.80K,-0.04%
2019-09-10,18,18,19,18,0.60K,0.13%
2019-09-09,18,18,19,18,0.62K,0.91%
2019-09-08,18,18,18,18,-,-0.61%
2019-09-06,18,19,19,18,0.09K,-3.62%
2019-09-05,19,20,20,19,0.27K,-3.71%
2019-09-04,20,20,20,20,0.19K,1.62%
2019-09-03,19,19,19,19,0.43K,5.39%
2019-09-02,18,19,19,18,-,-0.40%
2019-09-01,19,18,19,18,-,-0.10%
2019-08-30,19,18,19,18,0.66K,0.14%
2019-08-29,19,19,19,19,1.07K,-0.64%
2019-08-28,19,19,19,19,1.02K,0.87%
2019-08-27,19,18,19,18,1.22K,2.85%
2019-08-26,18,18,18,18,0.19K,1.09%
2019-08-25,18,18,18,18,-,0.24%
2019-08-23,18,17,18,17,0.38K,2.14%
2019-08-22,17,17,17,17,0.53K,-0.65%
2019-08-21,18,17,18,17,0.29K,0.02%
2019-08-20,18,17,18,17,0.30K,1.21%
2019-08-19,17,17,17,17,0.41K,1.35%
2019-08-18,17,17,17,17,-,-2.39%
2019-08-16,17,18,18,17,0.46K,-0.51%
2019-08-15,18,18,18,18,0.56K,-0.40%
2019-08-14,18,17,18,17,0.44K,1.68%
2019-08-13,17,18,18,17,0.25K,-0.44%
2019-08-12,17,17,17,17,0.05K,2.55%
2019-08-11,17,17,17,17,-,-1.72%
2019-08-09,17,17,17,17,0.29K,-0.02%
2019-08-08,17,17,17,17,0.76K,-1.48%
2019-08-07,18,17,17,17,0.38K,4.47%
2019-08-06,17,17,17,17,0.29K,0.32%
2019-08-05,17,17,17,17,0.16K,3.38%
2019-08-04,16,16,16,16,-,-2.60%
2019-08-02,17,17,17,16,0.21K,0.51%
2019-08-01,17,17,17,16,0.77K,-1.32%
2019-07-31,17,17,17,17,0.10K,-0.93%
2019-07-30,17,17,17,17,0.01K,0.71%
2019-07-29,17,17,17,17,0.04K,2.50%
2019-07-28,16,16,16,16,-,-2.17%
2019-07-26,17,17,17,17,0.22K,-0.05%
2019-07-25,17,17,17,17,0.30K,-1.25%
2019-07-24,17,17,17,17,0.14K,0.91%
2019-07-23,17,17,17,17,0.38K,0.40%
2019-07-22,17,17,17,17,0.29K,3.28%
2019-07-21,16,16,16,16,-,-1.90%
2019-07-19,17,17,17,17,0.51K,-0.02%
2019-07-18,17,16,17,16,0.47K,1.38%
2019-07-17,16,16,16,16,0.05K,1.80%
2019-07-16,16,16,16,16,0.23K,1.99%
2019-07-15,16,16,16,16,0.11K,3.09%
2019-07-14,15,15,15,15,-,-2.23%
2019-07-12,16,15,16,15,0.12K,0.57%
2019-07-11,16,16,16,16,0.00K,-0.51%
2019-07-10,16,15,16,15,0.27K,0.48%
2019-07-09,16,15,15,15,0.01K,0.64%
2019-07-08,15,15,15,15,0.15K,2.80%
2019-07-07,15,15,15,15,-,-2.41%
2019-07-05,15,16,16,15,0.22K,0.12%
2019-07-04,15,15,15,15,-,-2.13%
2019-07-03,16,16,16,16,0.32K,0.64%
2019-07-02,16,15,16,15,0.55K,0.34%
2019-07-01,16,15,16,15,0.15K,1.97%
2019-06-30,15,15,15,15,-,-2.75%
2019-06-28,16,15,16,15,0.60K,0.31%
2019-06-27,16,16,16,15,0.04K,-0.51%
2019-06-26,16,16,16,16,0.00K,-0.08%
2019-06-25,16,16,16,16,0.15K,-0.40%
2019-06-24,16,16,16,16,0.03K,2.39%
2019-06-23,15,15,15,15,-,-1.82%
2019-06-21,16,16,16,16,0.00K,-1.22%
2019-06-20,16,16,16,16,0.16K,3.41%
2019-06-19,15,15,15,15,0.00K,-0.23%
2019-06-18,15,15,15,15,0.03K,1.05%
2019-06-17,15,15,15,15,0.01K,2.87%
2019-06-16,15,15,15,15,-,-2.63%
2019-06-14,15,15,15,15,0.11K,-0.54%
2019-06-13,15,15,15,15,0.05K,0.85%
2019-06-12,15,15,15,15,0.02K,0.01%
2019-06-11,15,15,15,15,0.00K,0.65%
